degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
3,0.0003137988969683647,True,0.6666666666666666,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7322560751060624,0.3892450777187623,0.0
2,0.00029299501329660416,True,0.6666666666666666,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4352287190940629,0.24877507315558817,0.0
2,0.0002700239419937134,True,0.6666666666666666,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7621804800285766,0.3978106742040287,0.0
2,0.0002733943983912468,True,0.6666666666666666,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.38236514779787373,0.18773327979726906,0.0
3,0.0003275405615568161,True,0.6666666666666666,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7529939423253187,0.41656093135026534,0.0
3,0.0003046691417694092,True,0.6666666666666666,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4309806882319627,0.24357658240770977,0.0
3,0.0003025168552994728,True,0.6666666666666666,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.46719951643704805,0.2895416346856338,0.0
2,0.0002829795703291893,True,0.6666666666666666,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7839528140180059,0.3528850573869683,0.0
2,0.0002644062042236328,True,0.6666666666666666,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.33533557059020513,0.14011263713742858,0.0
2,0.0002631228417158127,True,0.6666666666666666,differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.39657988436923897,0.20336650893964392,0.0
